Subfolder,Filename,Raw Transcription
A1 - Transformation,IMG_4056.HEIC,"Q1: 32 | Q2: Female | Q3: San Francisco, CA | Q4: 6 times! | Q5: probably the first time. Experiencing a city made from us is absolutely life changing. Watching evolve from nothing into something definitely changes you. Riding through Wadsworth and Empire and Epircoh is life changing! Why? The atmosphere, the landscape, the entire journey is a one-of-a-kind experience. | Q6: Yes I expected myself to change or really discover a part of me that was always within. | Q7: It's gradual and each year upon attend and participate the ""life chase"" is evolving, slowly."
A2 - Transformation ,IMG_4007.HEIC,Q1: S2 | Q2: M | Q3: UAE
B2 - Survival,IMG_4018.HEIC,Q1: 36 | Q2: F | Q3: Czechia
A2 - Transformation ,IMG_4004.HEIC,"Q1: 41 | Q2: Non-Binary | Q3: Phoenix, AZ | Q4: CENSUS | Q5: Burning Man freed me from a prison of my own MAKING | Q6: Yes. | Q7: Both | Q8: Yes, I began to recognize that people desire my authenticity | Q9: It gave me a desire to live. And love again."
A2 - Transformation ,IMG_4002.HEIC,Q1: SET A² | Q2: [Illegible] | Q3: [Illegible]
A2 - Transformation ,IMG_4003.HEIC,"Q1: 42 | Q2: female | Q3: Northern California | Q4: 9 | Q5: Yes. It challenged my assumptions about community and my own capacity to be self-reliant. | Q6: Yes. I was expecting more of a festival vibe, and I was pleasantly surprised to find such a strong sense of community. | Q7: Gradual, but also sudden moments of realization. | Q8: Yes. It's made me more open, accepting and willing to connect with strangers. | Q9: The intense immersion, the intentional community, the art, and the music."
A2 - Transformation ,IMG_4005.HEIC,"Q1: 35 | Q2: Female | Q3: ABQ, New Mexico | Q4: 2 | Q5: Yes, it helped me with my social anxiety and also finding strength in myself. | Q6: No I did not. | Q7: very gradual | Q8: Yes, radical inclusivity has changed how I appreciate and understand everyone, + everyone's individual gifts. | Q9: Just how hard it is, finding resilience and feeling free of judgement for the first time, probably ever..."
B2 - Survival,IMG_4019.HEIC,Q1: SI | Q2: F | Q3: Minder NU | Q4: 5 | Q5: water cup | Q6: ID | Q7: years | Q8: community companion sup
B2 - Survival,IMG_4020.HEIC,Q1: CENSUS | Q2: [Illegible] | Q3: [Illegible]
B2 - Survival,IMG_4015.HEIC,Q1: 36 | Q2: | Q3: Los Angeles | Q4: 5 | Q5: shade structure | Q6: [Illegible] | Q7: 3 | Q8: relying on my camp and neighbors
B2 - Survival,IMG_4014.HEIC,Q1: SET B² | Q2: [Illegible] | Q3: [Illegible]
B2 - Survival,IMG_4016.HEIC,"Q1: [Illegible] | Q2: male | Q3: SF Bay Area | Q4: 5 times | Q5: headlamp | Q6: pool | Q7: 10 days | Q8: my community helps me feel grounded, inspired, and open-minded"
B2 - Survival,IMG_4021.HEIC,Q1: 37 3) NY 4) 1 | Q2: [Illegible] | Q3: [Illegible]
E1 - Relationships,IMG_4141.HEIC,Q1: 39 | Q2: Male | Q3: Canada
B2 - Survival,IMG_4017.HEIC,"Q1: sacramento | Q2: [Illegible] | Q3: 3 official, 1 renegade | Q4: [Illegible] | Q5: Extra batteries | Q6: Lizard onesie for cold nights | Q7: 2 weeks | Q8: Kindness in the random encounters of each and every person you meet"
E1 - Relationships,IMG_4131.HEIC,"Q1: 38 | Q2: F | Q3: Nashville, tn"
E1 - Relationships,IMG_4137.HEIC,Q1: 43 | Q2: M | Q3: Reno | Q4: I | Q5: N | Q6: N | Q7: Some so far
E1 - Relationships,IMG_4132.HEIC,"Q1: 63 | Q2: Female - | Q3: Australia 3.!!! Dreaming on Perfect until dust man This year (Exploding, Yurt man!)"
E1 - Relationships,IMG_4140.HEIC,Q1: 58 M | Q2: CARSON CITY NV | Q3: 7TH BURN!
E1 - Relationships,IMG_4130.HEIC,"Q1: 45 | Q2: female | Q3: Portland, OR | Q4: 2 | Q5: yes | Q6: [Illegible] | Q7: [Illegible]"
E1 - Relationships,IMG_4136.HEIC,Q1: 39 | Q2: Female | Q3: Reno | Q4: | Q5: no | Q6: yes - amazing! so much fun exploring together but also apart | Q7: Same :)
E1 - Relationships,IMG_4138.HEIC,Q1: 64 | Q2: F | Q3: Canada | Q4: 11 | Q5: no | Q6: no | Q7: they are not
E1 - Relationships,IMG_4143.HEIC,Q1: 26 | Q2: MALE | Q3: SF | Q4: 3 | Q5: Yes. Costco connected us. Didn't last. | Q6: NO. | Q7: There's a clock on it. Things move fast and distractions are everywhere.
E1 - Relationships,IMG_4133.HEIC,Q1: 38 | Q2: Male | Q3: Hawaii
E1 - Relationships,IMG_4129.HEIC,Q1: SET7 | Q2: [Illegible] | Q3: [Illegible]
D1 - Boundaries of Humanity,IMG_4120.HEIC,"Q1: 19/5 | Q2: 3,6 | Q3: BGd| | Q4: Mexico | Q5: [Illegible] | Q6: [Illegible]"
E1 - Relationships,IMG_4134.HEIC,Q1: 32 | Q2: m | Q3: In my lan | Q4: | Q5: not yet | Q6: nope | Q7: not sure
E1 - Relationships,IMG_4139.HEIC,Q1: 1133 | Q2: truly | Q3: [Illegible]
D1 - Boundaries of Humanity,IMG_4116.HEIC,Q1: 1 33 | Q2: 2 KORAN | Q3: 3 ITALY | Q4: 4 FIRST TIME | Q5: 5 HEMPATT? | Q6: 6 CONNECTING EMOTION | Q7: 7 NEVER | Q8: 8 FALL IN LOVE | Q9: 9 OPEN HEART
E1 - Relationships,IMG_4135.HEIC,"Q1: 1.25 | Q2: M | Q3: Nomadic/seattle | Q4: 2 | Q5: No | Q6: Yes, sucked. So Jealous & she was too experimental | Q7: 20 | Q8: Camp Contact, Fando Encounters, hope within this Container of curious Futurism"
E1 - Relationships,IMG_4142.HEIC,Q1: 33 | Q2: F | Q3: Nomad | OC CA | Q4: 4 | Q5: No | Q6: Married 6 yrs. together 15. Only ever been together to BM. Love it! Bring patience & compromise. | Q7: NA
D1 - Boundaries of Humanity,IMG_4121.HEIC,"Q1: 38 | Q2: Male | Q3: East Los Angeles | Q4: First | Q5: Self-Aware | Q6: Nuances | Q7: We did, why not them? | Q8: The limits of time. | Q9: I love this place."
D1 - Boundaries of Humanity,IMG_4126.HEIC,"Q1: 1.35 | Q2: male | Q3: Roe, Nevada"
D1 - Boundaries of Humanity,IMG_4117.HEIC,"Q1: 38 | Q2: F | Q3: Seattle, WA"
D1 - Boundaries of Humanity,IMG_4127.HEIC,"Q1: Carly & Murray | Q2: 40, F, 48k, 3, honesty, physical touch | Q3: 43, M, 48k, 1, No, Not yet human Connection, family Loss"
D1 - Boundaries of Humanity,IMG_4124.HEIC,Q1: 1.34 | Q2: Male | Q3: Nomad
